Curva;Tipo_De_Material;Setor_Industrial;Custo (R$);Volume (m³)
A;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;1500,00;3.5
A;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;75,00;0.01
A;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;25,00;0.001
B;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;200,00;0.002
B;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;5000,00;0.0001
B;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;1550,00;3.7
B;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;80,00;0.008
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;30,00;0.0012
C;PRODUTO_COMERCIALIZÁVEL;COMÉRCIO;220,00;0.0022
C;MATERIAL_ALTO_VALOR;QUÍMICA;4500,00;0.00008
C;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;1600,00;3.9
C;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;70,00;0.015
